continent,status,order,family,genus,species,mass.grams
AF,extant,Artiodactyla,Bovidae,Addax,nasomaculatus,70000.3
AF,extant,Artiodactyla,Bovidae,Aepyceros,melampus,52500.1
AF,extant,Artiodactyla,Bovidae,Alcelaphus,buselaphus,171001.5
AF,extant,Artiodactyla,Bovidae,Ammodorcas,clarkei,28049.8
AF,extant,Artiodactyla,Bovidae,Ammotragus,lervia,48000
AF,extant,Artiodactyla,Bovidae,Antidorcas,marsupialis,39049.9
AF,extinct,Artiodactyla,Bovidae,Antidorcas,bondi,34000
AF,extinct,Artiodactyla,Bovidae,Antidorcas,australis,40000
AF,extant,Artiodactyla,Bovidae,Bos,taurus,900000
AF,extant,Artiodactyla,Bovidae,Capra,walie,100000
AF,extant,Artiodactyla,Bovidae,Capra,ibex,100999.7
AF,extant,Artiodactyla,Bovidae,Capra,nubiana,78999.7
AF,extant,Artiodactyla,Bovidae,Cephalophus,weynsi,
AF,extant,Artiodactyla,Bovidae,Cephalophus,dorsalis,20000
AF,extant,Artiodactyla,Bovidae,Cephalophus,leucogaster,12699.9
AF,extant,Artiodactyla,Bovidae,Cephalophus,monticola,6250
AF,extant,Artiodactyla,Bovidae,Cephalophus,natalensis,12000
AF,extant,Artiodactyla,Bovidae,Cephalophus,niger,20400
AF,extant,Artiodactyla,Bovidae,Cephalophus,nigrifrons,13899.8
AF,extant,Artiodactyla,Bovidae,Cephalophus,rubidus,15000
AF,extant,Artiodactyla,Bovidae,Cephalophus,silvicultor,72500.3
AF,extant,Artiodactyla,Bovidae,Cephalophus,jentinki,70000.3
AF,extant,Artiodactyla,Bovidae,Cephalophus,zebra,17500.1
AF,extant,Artiodactyla,Bovidae,Cephalophus,adersi,9250
AF,extant,Artiodactyla,Bovidae,Cephalophus,callipygus,18249.9
AF,extant,Artiodactyla,Bovidae,Cephalophus,harveyi,14500.1
AF,extant,Artiodactyla,Bovidae,Cephalophus,maxwellii,12000
AF,extant,Artiodactyla,Bovidae,Cephalophus,ogilbyi,20000
AF,extant,Artiodactyla,Bovidae,Cephalophus,rufilatus,12000
AF,extant,Artiodactyla,Bovidae,Cephalophus,spadix,56000.3
AF,extant,Artiodactyla,Bovidae,Connochaetes,gnou,179999
AF,extant,Artiodactyla,Bovidae,Connochaetes,taurinus,179999
AF,extant,Artiodactyla,Bovidae,Damaliscus,pygargus,102000
AF,extant,Artiodactyla,Bovidae,Damaliscus,hunteri,80000
AF,extant,Artiodactyla,Bovidae,Damaliscus,lunatus,136000.3
AF,extant,Artiodactyla,Bovidae,Dorcatragus,megalotis,10249.9
AF,extant,Artiodactyla,Bovidae,Gazella,cuvieri,25000
AF,extant,Artiodactyla,Bovidae,Gazella,dama,72999.5
AF,extant,Artiodactyla,Bovidae,Gazella,rufifrons,26999.8
AF,extant,Artiodactyla,Bovidae,Gazella,dorcas,23000.1
AF,extant,Artiodactyla,Bovidae,Gazella,dorcas,23000.1
